method,query_id,unans_type,question,answer,raw_is_refusal,corrected_is_refusal
standard_rag,uq_0001,province_not_in_corpus,Berapa luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali?,I don't have this information.,,True
standard_rag,uq_0002,province_not_in_corpus,Apa status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat?,I don't have this information.,,True
standard_rag,uq_0003,province_not_in_corpus,Sebutkan daftar kawasan transmigrasi yang berada di Provinsi Jawa Tengah beserta status IPKT-nya.,I don't have this information.,,True
standard_rag,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?",I don't have this information.,,True
standard_rag,uq_0005,province_not_in_corpus,"Apa kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat?",I don't have this information.,,True
standard_rag,uq_0006,province_not_in_corpus,Bandingkan status kawasan transmigrasi di Provinsi Aceh dan Provinsi Riau berdasarkan IPKT 2023.,I don't have this information. The provided evidence does not specify which province (Aceh or Riau) each transmigration area belongs to.,,True
standard_rag,uq_0007,province_not_in_corpus,Apa saja program layanan transmigrasi yang tersedia di Provinsi DI Yogyakarta?,I don't have this information.,,True
standard_rag,uq_0008,province_not_in_corpus,"Berapa skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung?",I don't have this information.,,True
standard_rag,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,I don't have this information.,,True
standard_rag,uq_0010,province_not_in_corpus,Apa status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024?,I don't have this information.,,True
standard_rag,uq_0011,province_not_in_corpus,Bagaimana prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung?,I don't have this information.,,True
standard_rag,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?",I don't have this information.,,True
standard_rag,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,I don't have this information.,,True
standard_rag,uq_0014,province_not_in_corpus,Sebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan.,I don't have this information.,,True
standard_rag,uq_0015,province_not_in_corpus,Berapa jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten?,I don't have this information.,,True
standard_rag,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,I don't have this information.,,True
standard_rag,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Nomor,,False
standard_rag,uq_0018,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,I don't have this information.,,True
standard_rag,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,I don't have this information.,,True
standard_rag,uq_0020,regulation_not_covered,Bagaimana isi Peraturan Menteri Desa Nomor 91 Tahun 2016 tentang Status Perkembangan Desa?,I don't have this information.,,True
hybrid_rag,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?","Informasi mengenai jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat, tidak tersedia dalam bukti yang diberikan. Bukti yang ada hanya mencakup data kawasan transmigrasi di Ogan Ilir (Sumatera Selatan), Banyuasin (Sumatera Selatan), Sijunjung (Sumatera Barat), Sintang (Kalimantan Barat), dan Kubu Raya (Kalimantan Barat).",False,True
hybrid_rag,uq_0008,province_not_in_corpus,"Berapa skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung?","Informasi mengenai skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung tidak ditemukan dalam bukti yang diberikan.",False,True
hybrid_rag,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?","Informasi mengenai luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo tidak tersedia dalam bukti yang diberikan. Bukti yang ada hanya menyebutkan luas Kawasan Transmigrasi Sumalata di Gorontalo Utara, yaitu 54.299,87 hektare,",False,True
hybrid_rag,uq_0014,province_not_in_corpus,Sebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan.,"Berdasarkan bukti yang tersedia, tidak disebutkan secara spesifik komoditas unggulan di kawasan trans",False,True
