method,query_id,unans_type,question,reason_unanswerable,answer
llm_only,uq_0001,province_not_in_corpus,Berapa luas total kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali?,"Bali tidak ada di corpus (province coverage: Sultra, Sulteng, Sulbar, Kalsel, Sumut, Kalbar, Papua, Sumsel, Maluku, Kalteng, Sulsel, Sulut, NTT, Kaltim).","Tidak ada kawasan transmigrasi yang berstatus Mandiri di Provinsi Bali.

Bali secara historis merupakan provinsi asal (pengirim) transmigran, bukan provinsi tujuan (penerima) yang memiliki kawasan transmigrasi. Oleh karena itu, tidak ada data mengenai luas total kawasan transmigrasi Mandiri di Bali."
llm_only,uq_0002,province_not_in_corpus,Apa status IPKT 2023 untuk kawasan transmigrasi di Provinsi Jawa Barat?,Jawa Barat tidak ada di corpus.,Status IPKT (Indeks Pembangunan Kawasan Transmigrasi) biasanya diukur dan dilap
llm_only,uq_0003,province_not_in_corpus,Sebutkan daftar kawasan transmigrasi yang berada di Provinsi Jawa Tengah beserta status IPKT-nya.,Jawa Tengah tidak ada di corpus.,"Berdasarkan pengetahuan saya mengenai domain transmigrasi di Indonesia, Provinsi Jawa Tengah secara historis dan"
llm_only,uq_0004,province_not_in_corpus,"Berapa jumlah penduduk di kawasan transmigrasi Kabupaten Karawang, Provinsi Jawa Barat?",Jawa Barat/Karawang tidak ada di corpus.,"Berdasarkan pengetahuan saya mengenai program transmigrasi di Indonesia, Kabupaten Karawang, Provinsi Jawa Barat,"
llm_only,uq_0005,province_not_in_corpus,"Apa kriteria penetapan kawasan transmigrasi ""Makmur Jaya"" di Provinsi Nusa Tenggara Barat?",NTB tidak ada di corpus (hanya NTT yang tercakup); nama kawasan fiktif.,"Kriteria penetapan kawasan transmigrasi, termasuk untuk nama hipotetis seperti ""Makmur Jaya"
llm_only,uq_0006,province_not_in_corpus,Bandingkan status kawasan transmigrasi di Provinsi Aceh dan Provinsi Riau berdasarkan IPKT 2023.,Aceh dan Riau tidak ada di corpus.,"Berdasarkan informasi yang tersedia hingga saat ini, data spesifik Indeks Pembangunan Kawasan Transmig"
llm_only,uq_0007,province_not_in_corpus,Apa saja program layanan transmigrasi yang tersedia di Provinsi DI Yogyakarta?,"DIY tidak ada di corpus (layanan_* files yang ada: Grobogan, Bondowoso, Sleman, Solo).","Di Provinsi DI Yogyakarta, sebagai salah satu daerah asal transmigran, program layanan transmigrasi yang"
llm_only,uq_0008,province_not_in_corpus,"Berapa skor IPKT kawasan transmigrasi ""Sejahtera Mulya"" di Provinsi Lampung?",Lampung tidak ada di corpus; nama kawasan fiktif.,Saya tidak memiliki akses langsung ke data real-time atau database spesifik yang mencatat skor IPKT untuk
llm_only,uq_0009,province_not_in_corpus,Sebutkan desa-desa target di kawasan transmigrasi Provinsi Sumatera Barat.,Sumatera Barat tidak ada di corpus (hanya Sumut & Sumsel).,Kawasan transmigrasi di Provinsi Sumatera Barat umumnya berlokasi di daerah-daerah
llm_only,uq_0010,province_not_in_corpus,Apa status pembangunan kawasan transmigrasi di Provinsi Kepulauan Riau tahun 2024?,Kepulauan Riau tidak ada di corpus.,"Berdasarkan informasi yang tersedia dan tren kebijakan transmigrasi saat ini, status pembangunan kawasan trans"
llm_only,uq_0011,province_not_in_corpus,Bagaimana prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung?,Bangka Belitung tidak ada di corpus.,Prioritas intervensi untuk kawasan transmigrasi di Provinsi Bangka Belitung umumnya akan berfokus
llm_only,uq_0012,province_not_in_corpus,"Berapa hektare luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi Gorontalo?",Gorontalo tidak ada di corpus; nama kawasan fiktif.,"Saya tidak memiliki data spesifik mengenai luas kawasan transmigrasi ""Tunas Harapan"" di Provinsi"
llm_only,uq_0013,province_not_in_corpus,Apa status IPKT dan jumlah rumah tangga di kawasan transmigrasi Provinsi Papua Barat Daya?,"Papua Barat Daya (provinsi hasil pemekaran 2022) tidak ada di corpus, walau 'Papua' (provinsi induk lama) ada — sengaja mirip untuk menguji false-positive retrieval.","Berdasarkan informasi yang tersedia dan sifat program transmigrasi:

1.  **Status"
llm_only,uq_0014,province_not_in_corpus,Sebutkan komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan.,Papua Pegunungan (provinsi pemekaran) tidak ada di corpus.,"Komoditas unggulan di kawasan transmigrasi Provinsi Papua Pegunungan, mengingat karakteristik geografis dan"
llm_only,uq_0015,province_not_in_corpus,Berapa jumlah desa dengan status IDM Berkembang di kawasan transmigrasi Provinsi Banten?,Banten tidak ada di corpus.,Saya tidak memiliki data statistik real-time dan spesifik mengenai jumlah desa dengan status IDM Berkembang
llm_only,uq_0016,regulation_not_covered,Apa isi Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmigrasian?,"UU yang ada di corpus adalah UU No. 29/2009, bukan UU No. 15/1997.",Undang-Undang Nomor 15 Tahun 1997 tentang Ketransmig
llm_only,uq_0017,regulation_not_covered,Apa perubahan utama dalam Peraturan Pemerintah Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-Undang Ketransmigrasian?,"PP yang ada di corpus adalah PP No. 19/2024, bukan PP No. 3/2014.",Peraturan Pemerintah (PP) Nomor 3 Tahun 2014 tentang Pelaksanaan Undang-
llm_only,uq_0018,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pelayanan Minimal Kawasan Transmigrasi.,"Permentrans yang ada di corpus adalah No. 1/2024, 1/2025, 8/2025 — bukan No. 12/2019.",Peraturan Menteri Transmigrasi Nomor 12 Tahun 2019 tentang Standar Pel
llm_only,uq_0019,regulation_not_covered,Apa ketentuan dalam Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan Transmigrasi?,Tidak ada Perpres apa pun di corpus.,Peraturan Presiden Nomor 50 Tahun 2018 tentang Percepatan Pembangunan Kawasan
llm_only,uq_0020,regulation_not_covered,Bagaimana isi Peraturan Menteri Desa Nomor 91 Tahun 2016 tentang Status Perkembangan Desa?,Regulasi ini disebut sebagai contoh kualitatif di paper (Fig. 4) tapi teks lengkapnya tidak ada sebagai dokumen tersendiri di corpus.,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor"
llm_only,uq_0021,regulation_not_covered,Apa isi SNI 7331:2019 tentang mutu biji kopi?,"SNI yang ada di corpus adalah SNI 8926 dan SNI 6232:2025, bukan SNI 7331:2019.",SNI 7331:2019 adalah Standar Nasional Indonesia yang mengatur tentang **
llm_only,uq_0022,regulation_not_covered,Sebutkan pasal-pasal penting dalam Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi.,UU No. 2/1972 tidak ada di corpus.,Undang-Undang Nomor 2 Tahun 1972 tentang Transmigrasi memiliki beberapa pasal
llm_only,uq_0023,regulation_not_covered,Apa isi Peraturan Menteri Pertanian Nomor 25 Tahun 2020 tentang Budidaya Komoditas Perkebunan di Kawasan Transmigrasi?,Permentan yang ada di corpus tidak bernomor/bertahun ini.,Peraturan Menteri Pertanian Nomor 25 Tahun 2020 mengatur tentang **ped
llm_only,uq_0024,regulation_not_covered,Apa perubahan aturan pendaftaran transmigrasi menurut Peraturan Menteri Transmigrasi Nomor 5 Tahun 2015?,Permentrans No. 5/2015 tidak ada di corpus.,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 5"
llm_only,uq_0025,regulation_not_covered,Bagaimana ketentuan insentif fiskal dalam Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi?,PP No. 12/2021 tidak ada di corpus.,Peraturan Pemerintah Nomor 12 Tahun 2021 tentang Kawasan Transmigrasi
llm_only,uq_0026,regulation_not_covered,Apa isi Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi Nasional?,Tidak ada Inpres apa pun di corpus.,Instruksi Presiden Nomor 1 Tahun 2011 tentang Percepatan Transmigrasi
llm_only,uq_0027,regulation_not_covered,Sebutkan isi Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data Kawasan Transmigrasi.,Permentrans No. 20/2022 tidak ada di corpus.,Peraturan Menteri Transmigrasi Nomor 20 Tahun 2022 tentang Tata Kelola Data
